id	mut_id	mut_type	pos	effect	h	sub_pop	gen_origin	num	frequency	rep
356	3310076	m2	3083205	-0.000482964	0.5	p1	4865	1870	1	1
390	3476372	m3	3349850	0.001071871	0.5	p1	5105	1870	1	1
568	3484151	m2	4888681	-0.000791253	0.5	p1	5116	1870	1	1
9	3527381	m2	62138	-0.000916943	0.5	p1	5178	1870	1	1
89	3582114	m2	859902	-5.94E-05	0.5	p1	5257	1870	1	1
386	3585906	m3	3303724	0.003556737	0.5	p1	5263	1870	1	1
523	3596825	m3	4601292	0.001071839	0.5	p1	5278	1870	1	1
295	3624195	m2	2562156	-0.000284593	0.5	p1	5318	1870	1	1
466	3640894	m3	4083703	0.001321472	0.5	p1	5342	1870	1	1
387	3647291	m3	3332046	0.001042851	0.5	p1	5351	1870	1	1
323	3707644	m2	2769958	-1.31E-05	0.5	p1	5438	1870	1	1
489	3717449	m2	4290432	-0.000101664	0.5	p1	5452	1870	1	1
37	3757181	m2	341529	-0.001159074	0.5	p1	5509	1870	1	1
529	3820683	m2	4617782	-0.000300502	0.5	p1	5600	1870	1	1
225	3848914	m2	2054953	-0.000542237	0.5	p1	5640	1870	1	1
108	3891852	m3	1026318	0.001229244	0.5	p1	5702	1870	1	1
191	3931146	m2	1715455	-0.000425182	0.5	p1	5758	1870	1	1
392	3952903	m3	3396559	0.00081899	0.5	p1	5789	1870	1	1
165	3959607	m2	1521742	-0.000357984	0.5	p1	5799	1870	1	1
121	3999897	m2	1145447	-0.000132339	0.5	p1	5856	1870	1	1
548	4083762	m2	4754091	-0.000770027	0.5	p1	5974	1870	1	1
122	4127312	m2	1152903	-1.13E-06	0.5	p1	6036	1870	1	1
368	4133491	m3	3176671	0.000994402	0.5	p1	6045	1870	1	1
114	4163238	m3	1081916	0.002258693	0.5	p1	6087	1870	1	1
471	4226232	m2	4134499	-0.001318641	0.5	p1	6177	1870	1	1
174	4244576	m2	1583937	-0.000444823	0.5	p1	6203	1870	1	1
560	4386729	m3	4838361	0.000792249	0.5	p1	6405	1870	1	1
305	4487147	m2	2685701	-0.000137753	0.5	p1	6548	1870	1	1
275	4683944	m2	2455278	-0.000931246	0.5	p1	6826	1870	1	1
54	4747982	m2	563516	-0.000385093	0.5	p1	6917	1870	1	1
6	4775835	m2	50206	-0.00019313	0.5	p1	6957	1870	1	1
25	4779241	m2	188449	-0.000216454	0.5	p1	6962	1870	1	1
249	4839558	m2	2221603	-5.99E-05	0.5	p1	7048	1870	1	1
565	4839729	m2	4873463	-5.65E-06	0.5	p1	7048	1870	1	1
74	4933840	m2	733496	-0.00046601	0.5	p1	7184	1870	1	1
561	4990042	m2	4847925	-2.52E-05	0.5	p1	7263	1870	1	1
470	5001320	m3	4122190	0.000523301	0.5	p1	7279	1870	1	1
117	5008008	m3	1115478	0.000563411	0.5	p1	7289	1870	1	1
393	5098100	m3	3416334	0.002311889	0.5	p1	7416	1870	1	1
357	5104785	m2	3087036	-0.000807698	0.5	p1	7426	1870	1	1
365	5178891	m2	3168987	-0.000828781	0.5	p1	7532	1870	1	1
400	5212777	m2	3520971	-0.000105691	0.5	p1	7580	1870	1	1
351	5238000	m3	3028654	0.000981736	0.5	p1	7616	1870	1	1
257	5349558	m2	2271318	-1.26E-05	0.5	p1	7775	1870	1	1
215	5470764	m3	1926563	0.002605151	0.5	p1	7948	1870	1	1
419	5505604	m2	3702589	-0.000103678	0.5	p1	7997	1870	1	1
506	5733849	m3	4452278	0.004255075	0.5	p1	8317	1870	1	1
499	5831695	m2	4355914	-0.000644731	0.5	p1	8454	1870	1	1
62	5864577	m2	625247	-0.000448792	0.5	p1	8500	1870	1	1
514	5922342	m3	4524698	0.000928766	0.5	p1	8582	1870	1	1
71	6015637	m2	690672	-0.000570287	0.5	p1	8711	1870	1	1
314	6062605	m2	2725219	-0.000210716	0.5	p1	8776	1870	1	1
44	6095382	m3	394908	0.000990651	0.5	p1	8823	1870	1	1
228	6125132	m2	2086571	-1.97E-05	0.5	p1	8865	1870	1	1
95	6289910	m3	931488	0.000780997	0.5	p1	9096	1870	1	1
398	6302651	m3	3506523	0.001171148	0.5	p1	9114	1870	1	1
409	6433546	m2	3599802	-0.000616256	0.5	p1	9298	1870	1	1
338	6620180	m2	2884299	-4.76E-05	0.5	p1	9560	1870	1	1
199	6700714	m2	1767369	-8.85E-05	0.5	p1	9673	1870	1	1
190	6711611	m2	1702212	-0.00010538	0.5	p1	9689	1870	1	1
371	6735059	m3	3186464	0.000972303	0.5	p1	9722	1870	1	1
143	6735186	m2	1318056	-0.000172302	0.5	p1	9722	1870	1	1
201	6743492	m3	1779584	0.00202896	0.5	p1	9734	1870	1	1
192	6765749	m2	1720671	-0.001164341	0.5	p1	9765	1870	1	1
511	6784845	m2	4504085	-0.000182395	0.5	p1	9792	1870	1	1
276	6822407	m2	2458867	-6.88E-05	0.5	p1	9844	1870	1	1
358	6926821	m3	3087897	0.000816196	0.5	p1	9990	1870	1	1
171	6933831	m2	1573856	-0.000405838	0.5	p1	10000	1870	1	1
340	6965587	m2	2893602	-0.000248145	0.5	p1	10045	1870	1	1
241	6975389	m2	2168748	-0.000784106	0.5	p1	10058	1870	1	1
488	6978512	m3	4278835	0.000884051	0.5	p1	10063	1870	1	1
116	7034717	m3	1106054	0.001575072	0.5	p1	10142	1870	1	1
510	7038876	m2	4496067	-2.87E-05	0.5	p1	10147	1870	1	1
113	7120334	m3	1078772	0.000854296	0.5	p1	10262	1870	1	1
200	7182154	m2	1771485	-0.00052279	0.5	p1	10349	1870	1	1
383	7192219	m3	3259526	0.001111164	0.5	p1	10363	1870	1	1
180	7376466	m3	1604150	0.002056978	0.5	p1	10619	1870	1	1
128	7475908	m3	1201800	0.001434669	0.5	p1	10757	1870	1	1
444	7571455	m3	3907567	0.000791525	0.5	p1	10890	1870	1	1
216	7578062	m3	1953196	0.003346036	0.5	p1	10899	1870	1	1
355	7619819	m3	3070673	0.000261809	0.5	p1	10957	1870	1	1
188	7650347	m3	1693951	0.004825163	0.5	p1	10999	1870	1	1
343	7668526	m2	2934069	-0.000106477	0.5	p1	11024	1870	1	1
388	7702773	m2	3332219	-0.000160535	0.5	p1	11071	1870	1	1
32	7814141	m3	307465	0.001365748	0.5	p1	11226	1870	1	1
537	7870152	m2	4668716	-0.000917014	0.5	p1	11305	1870	1	1
372	7886362	m2	3187064	-0.00045725	0.5	p1	11327	1870	1	1
580	7958323	m3	4996071	0.000362509	0.5	p1	11428	1870	1	1
552	7973607	m3	4785806	0.002250485	0.5	p1	11449	1870	1	1
221	8014087	m2	1986966	-8.19E-06	0.5	p1	11506	1870	1	1
532	8055929	m2	4638241	-3.10E-05	0.5	p1	11564	1870	1	1
311	8132994	m3	2713308	0.001608084	0.5	p1	11672	1870	1	1
186	8148477	m3	1672808	0.001603342	0.5	p1	11694	1870	1	1
495	8163567	m2	4330663	-0.002134561	0.5	p1	11715	1870	1	1
303	8208524	m3	2672156	0.001898078	0.5	p1	11779	1870	1	1
137	8251013	m2	1279861	-7.92E-06	0.5	p1	11838	1870	1	1
377	8260692	m2	3231010	-9.16E-05	0.5	p1	11851	1870	1	1
218	8305982	m2	1966520	-6.44E-05	0.5	p1	11915	1870	1	1
293	8336368	m2	2537148	-3.81E-05	0.5	p1	11958	1870	1	1
69	8501721	m2	661402	-0.00016787	0.5	p1	12187	1870	1	1
492	8571603	m2	4319221	-4.70E-05	0.5	p1	12285	1870	1	1
235	8600608	m3	2125274	0.000196801	0.5	p1	12325	1870	1	1
197	8686936	m2	1761139	-0.000392444	0.5	p1	12445	1870	1	1
28	8825135	m3	218113	0.00611358	0.5	p1	12639	1870	1	1
14	8837401	m2	85020	-0.000553598	0.5	p1	12656	1870	1	1
518	8838403	m2	4549048	-5.17E-05	0.5	p1	12658	1870	1	1
154	8923987	m2	1468772	-3.15E-05	0.5	p1	12778	1870	1	1
80	9176309	m3	775498	0.000951658	0.5	p1	13127	1870	1	1
12	9178054	m3	70524	0.00208444	0.5	p1	13129	1870	1	1
274	9268221	m2	2435170	-4.73E-05	0.5	p1	13254	1870	1	1
401	9345612	m3	3527971	0.002579983	0.5	p1	13361	1870	1	1
132	9431099	m2	1243565	-0.00019318	0.5	p1	13479	1870	1	1
252	9443539	m3	2250021	3.41E-05	0.5	p1	13496	1870	1	1
472	9554375	m3	4135840	0.001455815	0.5	p1	13648	1870	1	1
405	9556640	m3	3563844	0.002608209	0.5	p1	13651	1870	1	1
56	9593013	m3	586242	0.000939144	0.5	p1	13701	1870	1	1
475	9601644	m3	4145154	0.000704369	0.5	p1	13713	1870	1	1
155	9670794	m2	1472965	-7.68E-05	0.5	p1	13807	1870	1	1
505	9681600	m2	4446436	-0.000173077	0.5	p1	13822	1870	1	1
258	9709664	m2	2275809	-0.000310042	0.5	p1	13860	1870	1	1
423	9790947	m2	3729219	-2.97E-05	0.5	p1	13971	1870	1	1
245	9820428	m3	2188765	0.000244875	0.5	p1	14011	1870	1	1
551	9854729	m3	4783602	0.003731442	0.5	p1	14058	1870	1	1
576	9855576	m2	4962031	-1.94E-05	0.5	p1	14059	1870	1	1
33	9913349	m3	309984	0.000936734	0.5	p1	14137	1870	1	1
329	9983590	m2	2850205	-2.61E-07	0.5	p1	14232	1870	1	1
512	10008406	m3	4510535	0.001001478	0.5	p1	14264	1870	1	1
559	10041433	m3	4834475	0.006133639	0.5	p1	14309	1870	1	1
75	10143058	m3	735999	0.002885343	0.5	p1	14447	1870	1	1
447	10147138	m2	3925557	-3.13E-06	0.5	p1	14452	1870	1	1
461	10226315	m3	3994251	0.002852646	0.5	p1	14558	1870	1	1
107	10269394	m2	1021182	-6.90E-05	0.5	p1	14615	1870	1	1
173	10299781	m2	1583684	-0.000500944	0.5	p1	14655	1870	1	1
264	10532592	m3	2358019	0.001822814	0.5	p1	14967	1870	1	1
473	10576397	m3	4137878	7.25E-05	0.5	p1	15027	1870	1	1
541	10747981	m3	4685670	0.002031006	0.5	p1	15257	1870	1	1
396	10843295	m3	3473495	0.001162345	0.5	p1	15384	1870	1	1
352	10901318	m3	3039348	0.001337879	0.5	p1	15461	1870	1	1
163	10912286	m2	1508366	-0.000240388	0.5	p1	15476	1870	1	1
443	10923121	m2	3907456	-0.002179349	0.5	p1	15490	1870	1	1
341	11046528	m2	2900193	-7.65E-05	0.5	p1	15654	1870	1	1
339	11049479	m2	2891252	-0.000112311	0.5	p1	15658	1870	1	1
267	11129198	m3	2366529	0.002449848	0.5	p1	15764	1870	1	1
375	11316982	m2	3208586	-0.000683356	0.5	p1	16012	1870	1	1
378	11395710	m3	3233395	0.001662299	0.5	p1	16116	1870	1	1
334	11459993	m2	2871923	-0.000119558	0.5	p1	16202	1870	1	1
31	11751938	m3	297315	0.001721495	0.5	p1	16587	1870	1	1
479	11799655	m3	4179576	0.002201574	0.5	p1	16649	1870	1	1
307	11897090	m2	2690450	-0.00015652	0.5	p1	16778	1870	1	1
280	11933138	m3	2468745	0.002640594	0.5	p1	16826	1870	1	1
157	11961566	m3	1476692	0.00194244	0.5	p1	16863	1870	1	1
411	12332496	m3	3621760	0.000153477	0.5	p1	17352	1870	1	1
167	12428412	m2	1552929	-0.000299949	0.5	p1	17478	1870	1	1
367	12429370	m3	3172012	0.001064975	0.5	p1	17479	1870	1	1
220	12492999	m2	1978429	-0.000344524	0.5	p1	17562	1870	1	1
497	12616068	m3	4341062	0.002320789	0.5	p1	17726	1870	1	1
446	12664005	m3	3924854	0.003341125	0.5	p1	17789	1870	1	1
109	12718367	m2	1033309	-3.01E-05	0.5	p1	17862	1870	1	1
24	12918140	m2	186523	-0.000125695	0.5	p1	18124	1870	1	1
87	12983075	m2	835485	-1.42E-05	0.5	p1	18209	1870	1	1
59	13016549	m3	609848	1.83E-05	0.5	p1	18252	1870	1	1
16	13019863	m2	99671	-0.000831409	0.5	p1	18256	1870	1	1
125	13028879	m2	1174614	-1.13E-05	0.5	p1	18268	1870	1	1
142	13047627	m2	1311227	-0.000187383	0.5	p1	18293	1870	1	1
206	13132514	m2	1816965	-2.51E-05	0.5	p1	18405	1870	1	1
370	13357118	m3	3185678	0.000269381	0.5	p1	18699	1870	1	1
123	13399721	m2	1155861	-0.000140341	0.5	p1	18755	1870	1	1
67	13570872	m2	654715	-4.85E-07	0.5	p1	18979	1870	1	1
5	13605588	m2	32334	-0.001624435	0.5	p1	19024	1870	1	1
312	13728064	m3	2715161	0.001666527	0.5	p1	19183	1870	1	1
162	13752945	m3	1505585	0.001784198	0.5	p1	19215	1870	1	1
214	13865283	m2	1921935	-0.000540343	0.5	p1	19359	1870	1	1
542	13991963	m3	4690869	0.00118688	0.5	p1	19522	1870	1	1
494	14128970	m2	4327662	-4.57E-05	0.5	p1	19699	1870	1	1
118	14184227	m2	1120051	-0.000118014	0.5	p1	19770	1870	1	1
224	14314686	m3	2013254	0.000990379	0.5	p1	19939	1870	1	1
3	14335202	m2	24015	-0.000135228	0.5	p1	19965	1870	1	1
45	14467278	m2	427052	-8.34E-05	0.5	p1	20137	1870	1	1
144	14558160	m2	1323600	-8.95E-05	0.5	p1	20255	1870	1	1
442	14651473	m3	3893841	0.002230159	0.5	p1	20377	1870	1	1
283	14991639	m2	2483307	-0.000143311	0.5	p1	20819	1870	1	1
439	15032123	m3	3873891	0.001329298	0.5	p1	20871	1870	1	1
304	15034908	m3	2673374	0.001753644	0.5	p1	20875	1870	1	1
7	15044695	m3	53411	0.000585651	0.5	p1	20887	1870	1	1
440	15078830	m2	3880365	-3.66E-05	0.5	p1	20932	1870	1	1
450	15133301	m3	3956328	0.001012439	0.5	p1	21002	1870	1	1
306	15189209	m3	2686266	0.000334922	0.5	p1	21074	1870	1	1
296	15245362	m3	2607665	0.000288062	0.5	p1	21145	1870	1	1
566	15615505	m3	4878094	0.000451299	0.5	p1	21624	1870	1	1
455	15625070	m2	3985274	-7.44E-05	0.5	p1	21637	1870	1	1
236	15653723	m2	2127972	-0.000173216	0.5	p1	21674	1870	1	1
460	15697719	m2	3993013	-8.65E-06	0.5	p1	21731	1870	1	1
178	15761697	m3	1599492	0.00342073	0.5	p1	21813	1870	1	1
501	15844828	m2	4398075	-2.58E-05	0.5	p1	21920	1870	1	1
317	15877470	m2	2751385	-0.000115771	0.5	p1	21962	1870	1	1
140	15907865	m2	1303412	-0.000467295	0.5	p1	22001	1870	1	1
84	15968494	m2	791373	-0.000332178	0.5	p1	22079	1870	1	1
138	16039816	m3	1283196	0.000857698	0.5	p1	22170	1870	1	1
381	16461090	m2	3249136	-7.85E-05	0.5	p1	22709	1870	1	1
73	16493388	m3	696575	0.002020459	0.5	p1	22751	1870	1	1
261	16507844	m3	2297124	6.90E-05	0.5	p1	22770	1870	1	1
300	16546504	m2	2645768	-0.001070866	0.5	p1	22820	1870	1	1
526	16576164	m3	4611650	0.002769224	0.5	p1	22857	1870	1	1
247	16686562	m2	2212855	-0.000984182	0.5	p1	22999	1870	1	1
195	16711855	m2	1752350	-0.000597404	0.5	p1	23032	1870	1	1
287	16743621	m3	2506029	0.000130494	0.5	p1	23074	1870	1	1
291	16799708	m2	2523685	-0.000118199	0.5	p1	23146	1870	1	1
301	16921869	m2	2649506	-0.00027681	0.5	p1	23303	1870	1	1
11	17075090	m2	66683	-0.000552338	0.5	p1	23498	1870	1	1
175	17131019	m2	1585884	-7.37E-05	0.5	p1	23569	1870	1	1
102	17135101	m3	989776	0.000618764	0.5	p1	23574	1870	1	1
507	17268499	m3	4453651	0.000252112	0.5	p1	23743	1870	1	1
493	17273268	m3	4322931	0.001685122	0.5	p1	23749	1870	1	1
51	17393986	m2	524123	-0.000535774	0.5	p1	23902	1870	1	1
337	17549383	m2	2882783	-0.000927908	0.5	p1	24097	1870	1	1
288	17690595	m2	2514807	-3.41E-08	0.5	p1	24276	1870	1	1
40	17708770	m2	360947	-0.000733181	0.5	p1	24299	1870	1	1
112	17749550	m2	1050554	-0.000309258	0.5	p1	24351	1870	1	1
0	17763690	m2	3729	-0.000592404	0.5	p1	24369	1870	1	1
242	17861012	m3	2181430	0.002305863	0.5	p1	24493	1870	1	1
540	17888723	m2	4677423	-0.000189242	0.5	p1	24529	1870	1	1
319	17953916	m3	2759425	0.003127174	0.5	p1	24612	1870	1	1
490	18053251	m3	4291833	0.004017348	0.5	p1	24741	1870	1	1
239	18235275	m2	2137980	-0.000110183	0.5	p1	24972	1870	1	1
354	18281337	m3	3063237	0.000408657	0.5	p1	25031	1870	1	1
240	18309315	m2	2165084	-0.000529195	0.5	p1	25066	1870	1	1
248	18340753	m3	2220898	0.002554649	0.5	p1	25106	1870	1	1
369	18370362	m2	3184834	-0.000170479	0.5	p1	25143	1870	1	1
42	18447994	m3	375950	0.000874562	0.5	p1	25243	1870	1	1
519	18482903	m2	4561300	-0.000293432	0.5	p1	25287	1870	1	1
244	18486178	m3	2183829	0.00053197	0.5	p1	25291	1870	1	1
41	18516514	m2	372337	-8.15E-06	0.5	p1	25329	1870	1	1
203	18616116	m3	1786639	0.001080891	0.5	p1	25456	1870	1	1
533	18648095	m2	4640527	-6.71E-06	0.5	p1	25496	1870	1	1
136	18878545	m2	1272465	-1.00E-05	0.5	p1	25791	1870	1	1
148	19087196	m2	1399853	-0.000334505	0.5	p1	26057	1870	1	1
572	19311261	m2	4911420	-0.000387554	0.5	p1	26341	1870	1	1
563	19433767	m2	4856932	-0.000989956	0.5	p1	26495	1870	1	1
50	19547300	m3	515996	0.000530187	0.5	p1	26637	1870	1	1
429	19714633	m2	3808817	-0.00037329	0.5	p1	26849	1870	1	1
349	19778474	m3	3020376	0.001347499	0.5	p1	26930	1870	1	1
219	19841553	m3	1974435	0.002796927	0.5	p1	27010	1870	1	1
238	19914694	m3	2133849	0.000500384	0.5	p1	27103	1870	1	1
91	19986054	m3	882785	0.000378643	0.5	p1	27194	1870	1	1
467	20115997	m3	4098694	0.002089658	0.5	p1	27359	1870	1	1
575	20168127	m2	4954535	-0.000759232	0.5	p1	27424	1870	1	1
22	20290145	m2	156228	-0.000155273	0.5	p1	27577	1870	1	1
156	20537010	m2	1476525	-0.000171256	0.5	p1	27888	1870	1	1
251	20544407	m3	2246035	0.000279431	0.5	p1	27898	1870	1	1
536	20555127	m3	4664955	0.002628818	0.5	p1	27912	1870	1	1
110	20608738	m2	1036602	-0.000338659	0.5	p1	27977	1870	1	1
170	20644663	m3	1560881	0.000677692	0.5	p1	28022	1870	1	1
418	20673329	m2	3696335	-0.001325288	0.5	p1	28058	1870	1	1
402	20673649	m2	3533024	-0.000108445	0.5	p1	28059	1870	1	1
333	20688700	m3	2857676	0.001704699	0.5	p1	28077	1870	1	1
413	20700382	m2	3653114	-0.000997611	0.5	p1	28092	1870	1	1
502	20760454	m2	4412539	-0.000269052	0.5	p1	28167	1870	1	1
498	20761285	m3	4344422	0.004020585	0.5	p1	28168	1870	1	1
395	20805086	m2	3472412	-0.000212026	0.5	p1	28222	1870	1	1
517	20959623	m2	4548092	-5.79E-05	0.5	p1	28414	1870	1	1
204	21255505	m3	1787482	0.000201892	0.5	p1	28787	1870	1	1
424	21274020	m2	3733077	-1.36E-05	0.5	p1	28811	1870	1	1
382	21344997	m3	3256348	0.000242775	0.5	p1	28900	1870	1	1
407	21501560	m3	3574809	0.001885066	0.5	p1	29096	1870	1	1
325	21697027	m3	2791743	0.002559582	0.5	p1	29338	1870	1	1
451	21701672	m3	3958598	0.002636442	0.5	p1	29344	1870	1	1
172	21704696	m2	1579458	-0.00139171	0.5	p1	29347	1870	1	1
260	21774613	m2	2290755	-8.54E-06	0.5	p1	29435	1870	1	1
474	21894290	m2	4138021	-0.000347019	0.5	p1	29584	1870	1	1
55	22006846	m2	584496	-0.000415287	0.5	p1	29725	1870	1	1
456	22014799	m3	3988315	0.001784733	0.5	p1	29734	1870	1	1
530	22046360	m2	4632525	-8.58E-06	0.5	p1	29774	1870	1	1
255	22129799	m3	2261206	0.001602105	0.5	p1	29878	1870	1	1
158	22229814	m3	1484722	0.001030591	0.5	p1	30002	1870	1	1
263	22312380	m2	2352593	-0.002777021	0.5	p1	30105	1870	1	1
549	22323637	m3	4754982	0.003467979	0.5	p1	30119	1870	1	1
115	22384195	m3	1104918	0.001434289	0.5	p1	30195	1870	1	1
101	22902662	m3	987245	0.0006963	0.5	p1	30841	1870	1	1
268	22909092	m2	2368978	-9.43E-05	0.5	p1	30849	1870	1	1
35	22948077	m2	338045	-4.46E-05	0.5	p1	30897	1870	1	1
486	22991992	m3	4248776	0.000892844	0.5	p1	30952	1870	1	1
198	23006545	m2	1761968	-0.000572973	0.5	p1	30970	1870	1	1
516	23177381	m3	4542740	0.002327781	0.5	p1	31183	1870	1	1
391	23224949	m2	3380298	-5.52E-05	0.5	p1	31243	1870	1	1
166	23231767	m2	1551229	-0.000265457	0.5	p1	31251	1870	1	1
269	23251037	m3	2382729	0.001511201	0.5	p1	31275	1870	1	1
230	23267572	m2	2097154	-0.000661624	0.5	p1	31296	1870	1	1
29	23284758	m2	218851	-5.19E-05	0.5	p1	31318	1870	1	1
476	23395531	m3	4153792	0.000725228	0.5	p1	31455	1870	1	1
194	23454943	m2	1746284	-0.000486179	0.5	p1	31528	1870	1	1
88	23544764	m3	840800	0.003066004	0.5	p1	31638	1870	1	1
449	23626986	m2	3956063	-0.000507175	0.5	p1	31740	1870	1	1
504	23791522	m3	4426976	0.001126627	0.5	p1	31944	1870	1	1
294	23806556	m2	2549171	-7.14E-05	0.5	p1	31963	1870	1	1
205	23853269	m2	1794320	-0.000900482	0.5	p1	32021	1870	1	1
76	23868586	m2	737649	-0.000104927	0.5	p1	32040	1870	1	1
515	24014879	m2	4538138	-0.000268214	0.5	p1	32221	1870	1	1
57	24077242	m3	589521	0.004649289	0.5	p1	32299	1870	1	1
49	24113426	m3	506479	0.00087008	0.5	p1	32344	1870	1	1
573	24330089	m3	4911965	0.000177922	0.5	p1	32611	1870	1	1
350	24369960	m3	3027136	0.003361401	0.5	p1	32660	1870	1	1
100	24432346	m3	978196	0.001461946	0.5	p1	32737	1870	1	1
500	24476856	m2	4382725	-5.52E-07	0.5	p1	32793	1870	1	1
360	24518103	m3	3103875	0.000194394	0.5	p1	32844	1870	1	1
99	24612033	m3	972151	0.003300808	0.5	p1	32961	1870	1	1
265	24655566	m3	2358632	0.004593089	0.5	p1	33015	1870	1	1
187	24706749	m2	1679046	-0.000487342	0.5	p1	33078	1870	1	1
273	24804011	m3	2431250	7.61E-06	0.5	p1	33197	1870	1	1
211	24925492	m2	1877257	-0.000672634	0.5	p1	33345	1870	1	1
297	24925640	m3	2609962	0.001610557	0.5	p1	33345	1870	1	1
574	24953493	m2	4917545	-0.000184174	0.5	p1	33379	1870	1	1
569	24997101	m2	4890084	-0.001485586	0.5	p1	33433	1870	1	1
534	25050331	m2	4655330	-4.54E-05	0.5	p1	33497	1870	1	1
458	25198666	m2	3991755	-0.002196878	0.5	p1	33678	1870	1	1
231	25341624	m2	2101113	-9.01E-05	0.5	p1	33851	1870	1	1
270	25347083	m3	2405090	0.00037147	0.5	p1	33858	1870	1	1
478	25406162	m2	4168355	-0.001396767	0.5	p1	33929	1870	1	1
346	25435514	m2	2968862	-5.72E-05	0.5	p1	33965	1870	1	1
48	25481228	m3	493014	0.000128794	0.5	p1	34020	1870	1	1
557	25556788	m2	4828011	-4.23E-05	0.5	p1	34112	1870	1	1
454	25704566	m2	3972995	-0.000363075	0.5	p1	34290	1870	1	1
278	25762288	m2	2462908	-0.001415166	0.5	p1	34359	1870	1	1
353	25807759	m2	3062511	-1.25E-06	0.5	p1	34414	1870	1	1
425	25808762	m3	3735999	0.000903814	0.5	p1	34415	1870	1	1
20	25866548	m3	128866	0.004830344	0.5	p1	34486	1870	1	1
415	25878551	m2	3689593	-9.85E-05	0.5	p1	34500	1870	1	1
